spec	spec_p
albendazole	-1.78450614015321	NA
articaine	0.874499850007169	0.493866579728582
bendroflumethiazide	-2.00451322227636	NA
brompheniramine	-7.00307332693257	NA
bromocriptine	-11.0383642711356	NA
budesonide	-0.561041186734548	NA
chlorambucil	0.405194791740517	0.493866579728582
chlorpromazine	-5.79017880694727	NA
cilostazol	0.615107864088583	0.493866579728582
clemastine	-9.94792880430389	NA
citalopram	-1.06982956119018	NA
diclofenac	-4.44380099225737	NA
dihydroergotamine	-5.88811065269049	NA
erythromycin	-3.87449067240194	NA
escitalopram	-1.90768770632843	NA
ethotoin	8.8650470020402	0.493866579728582
etoposide	-5.90578155318248	NA
fluocinonide	-0.749863226636447	NA
fluorometholone	2.06186661648135	0.493866579728582
fluoxetine	-8.5548767147926	NA
gemfibrozil	-0.420178159822533	NA
guaifenesin	-1.6809081238853	NA
hydrocortisone	-1.05814925029289	NA
ipratropium	-2.61649775606079	NA
liothyronine	-3.10710062249731	NA
methoxsalen	0.990417969424056	0.493866579728582
nabumetone	-2.55236582890002	NA
norethindrone	-0.975514843269159	NA
naltrexone	-5.5461381202526	NA
olmesartan	-2.38285615810635	NA
pindolol	-2.66536635896275	NA
prednisolone	-2.58183856365548	NA
primaquine	2.99849779953404	0.493866579728582
prochlorperazine	-4.62719705200976	NA
ranitidine	-4.51412209415071	NA
sildenafil	-3.14390319667122	NA
simvastatin	-8.66684333274692	NA
sotalol	-3.12587493075715	NA
tadalafil	0.312360070120914	0.493866579728582
triamcinolone	-2.44856356285719	NA
trimipramine	-12.401813854501	NA
tetrabenazine	-1.46170160858072	NA
zonisamide	-2.77951058560173	NA
atovaquone	2.77386941518066	0.493866579728582
cortisone	-0.806807485001801	NA
estropipate	-0.354959652243053	NA
galantamine	-0.819772070728221	NA
haloperidol	-8.74628418664842	NA
homatropine	2.06189094971622	0.493866579728582
isradipine	-8.95439589767047	NA
maprotiline	-10.8430696226014	NA
metyrapone	-3.01691812781773	NA
nicotine	2.66230511434524	0.493866579728582
nalbuphine	1.46963579182738	0.493866579728582
ondansetron	-3.88293313467479	NA
progesterone	-6.49708580343434	NA
tropicamide	-2.76533477936842	NA
fluphenazine	-13.5426018713133	NA
letrozole	-2.45852196850312	NA
repaglinide	-1.6716246626881	NA
imipramine	-3.48701801882089	NA
megestrol	-0.502199032415438	NA
warfarin	1.1997071778398	0.493866579728582
alfuzosin	2.82721827035722	0.493866579728582
amcinonide	-6.08176865930727	NA
amiodarone	-9.81953991054038	NA
amlodipine	-12.2923921095919	NA
anagrelide	-7.13164698436932	NA
butoconazole	0.825984783074122	0.493866579728582
brinzolamide	0.168836722888234	0.493866579728582
candesartan	-0.654167417950123	NA
celecoxib	-0.241538670627207	NA
clonidine	-2.68281165994415	NA
irinotecan	1.59423830754806	0.493866579728582
crotamiton	-2.94262359361045	NA
cefixime	-1.39320687698129	NA
cimetidine	-3.01585997094487	NA
clofarabine	0.553014709119855	0.493866579728582
dactinomycin	-29.7516729922164	NA
danazol	-8.38820227809966	NA
diflunisal	-12.4687826251604	NA
disopyramide	-5.21947609530725	NA
dobutamine	-4.91853820026315	NA
doxepin	-1.43610046476258	NA
enalapril	1.05800383549588	0.493866579728582
ezetimibe	-14.0082137550132	NA
febuxostat	-1.96527100389116	NA
fenofibrate	3.10961364787641	0.493866579728582
felbamate	5.7654448455227	0.493866579728582
fenoldopam	-1.6656077474605	NA
flavoxate	-0.216796218370816	NA
formoterol	1.24887629351616	0.493866579728582
glimepiride	0.740929106865481	0.493866579728582
halcinonide	1.19009323466729	0.493866579728582
ketoprofen	3.68992584387884	0.493866579728582
ketorolac	-0.447456719347034	NA
ketotifen	-1.12341497154921	NA
loxapine	0.255583152649657	0.493866579728582
mebendazole	0.172184165657769	0.493866579728582
metaxalone	16.0247934191545	0.493866579728582
methocarbamol	1.84155783417553	0.493866579728582
midodrine	-2.16561324915629	NA
minoxidil	-0.567569214495744	NA
mitotane	-7.08478410370956	NA
mifepristone	-5.49169887512313	NA
milrinone	-0.890657564724565	NA
mirtazapine	-1.37228996157927	NA
nonoxynol-9	-16.5483174200388	NA
nortriptyline	-8.86749803036874	NA
naloxone	-3.90800670376416	NA
orphenadrine	-3.41230340468564	NA
prednisone	0.652274133422614	0.493866579728582
protriptyline	-6.73358174789108	NA
pyrimethamine	-8.90036094987904	NA
reserpine	-18.0648734077749	NA
ropinirole	-3.28172622000168	NA
rosuvastatin	-7.35639329782455	NA
ibuprofen	-1.81150740907547	NA
sertraline	-14.1054039670418	NA
sulconazole	-19.0309445216256	NA
saquinavir	-2.74823346192116	NA
tacrolimus	-13.0526254696367	NA
ticlopidine	-5.93490065988019	NA
toremifene	-7.99506633558191	NA
trazodone	-1.3609111846743	NA
paclitaxel	-3.45888296019056	NA
venlafaxine	0.937058159246975	0.493866579728582
trifluoperazine	-6.13768252228066	NA
amantadine	-17.0404014629238	NA
amitriptyline	-6.44057595471624	NA
betamethasone	-2.24988113777731	NA
bicalutamide	-0.115118084729675	NA
bumetanide	-2.34074355586701	NA
buspirone	0.473908507791938	0.493866579728582
caffeine	-7.71678849878568	NA
carbinoxamine	0.689079607283493	0.493866579728582
carvedilol	-3.50201333716502	NA
cabergoline	0.250836433442828	0.493866579728582
clomipramine	-15.6535040742782	NA
clozapine	-1.66837065097441	NA
desipramine	-10.5174166034776	NA
desoximetasone	-4.44820372999521	NA
dextromethorphan	-3.66374295634628	NA
diltiazem	-3.14954571232799	NA
droperidol	2.77804912302148	0.493866579728582
duloxetine	-4.93669251544592	NA
icosapent	-17.6230110065247	NA
exemestane	-3.8584409294434	NA
famciclovir	-0.905465892809427	NA
fexofenadine	11.3437233615491	0.493866579728582
fluconazole	-9.35563151141211	NA
flunisolide	-2.95639939803909	NA
flutamide	-4.96719563647546	NA
fluvastatin	-15.1617164701067	NA
felodipine	-13.2262354787128	NA
finasteride	-3.57256158455708	NA
flumazenil	-2.03407395875889	NA
fluvoxamine	0.115179366956998	0.493866579728582
ivermectin	-25.2024816437434	NA
lidocaine	3.07391260289046	0.493866579728582
leflunomide	-6.32150769091922	NA
loperamide	-8.85601911522649	NA
meloxicam	-0.626842832525957	NA
metolazone	-3.06463752111773	NA
metoprolol	-6.56103004165369	NA
mexiletine	-1.00430685912433	NA
molindone	-7.23174463088495	NA
mometasone	-9.22863722651087	NA
nadolol	-1.92237148929216	NA
naftifine	-0.387750916112904	NA
levonorgestrel	-2.50008604195193	NA
omeprazole	-3.27248096418835	NA
oxymetazoline	2.20547513097762	0.493866579728582
pantoprazole	1.46347501282919	0.493866579728582
paroxetine	-15.0341181950036	NA
perindopril	4.81726133328077	0.493866579728582
perphenazine	-19.4574178790009	NA
phenoxybenzamine	-5.41580122596243	NA
pioglitazone	4.0622547483015	0.493866579728582
piroxicam	-6.0896695031375	NA
praziquantel	6.94786931858216	0.493866579728582
prazosin	0.194358320272423	0.493866579728582
primidone	-5.6714604621148	NA
propafenone	1.62943371453187	0.493866579728582
pimozide	-10.7196312263382	NA
quetiapine	-4.73320931999777	NA
quinidine	-4.09435871317177	NA
ranolazine	-2.37230156883704	NA
riluzole	-3.08457004364533	NA
rimexolone	-2.64534926559085	NA
salmeterol	-9.32898010465919	NA
spironolactone	-2.00144591236506	NA
telmisartan	-4.8596947249007	NA
thiotepa	-1.44790224778859	NA
thiothixene	-9.84713303034822	NA
trimethobenzamide	-4.06579619410466	NA
atomoxetine	-2.46711433784184	NA
valsartan	-6.88177069990763	NA
verteporfin	-10.7526711383997	NA
zolmitriptan	3.61208660137818	0.493866579728582
altretamine	-1.28071062416461	NA
amoxapine	-8.18322447970753	NA
amiloride	1.22544717331013	0.493866579728582
donepezil	-1.69904710537543	NA
dantrolene	0.778126647680454	0.493866579728582
econazole	-5.7201200553458	NA
losartan	-4.20590169759121	NA
naphazoline	-0.315297821905092	NA
prednicarbate	-0.877817625533371	NA
terconazole	0.641552533709085	0.493866579728582
verapamil	-4.3744918574984	NA
bisoprolol	-0.255755952188466	NA
bupropion	-4.33751014102576	NA
benazepril	-2.54134207206984	NA
carbamazepine	-4.34729553853321	NA
dipyridamole	-2.42192242838515	NA
doxylamine	-2.31582607167861	NA
etomidate	-1.38536004931799	NA
flecainide	-12.6015222872101	NA
glipizide	-1.89760184015197	NA
hydralazine	-8.08980885128335	NA
irbesartan	-0.181868824392711	NA
labetalol	-2.86128492335458	NA
lamotrigine	-0.170370729385498	NA
mestranol	-0.806317028119626	NA
metoclopramide	-4.09090701636276	NA
moexipril	2.74530939562721	0.493866579728582
nizatidine	-0.16229550784416	NA
probenecid	-0.269018003619935	NA
procainamide	-1.5319071785073	NA
pravastatin	0.63058206747277	0.493866579728582
procarbazine	-0.129720822501405	NA
risperidone	-2.27813696106459	NA
scopolamine	-3.26692907330093	NA
sertaconazole	-0.976952377136795	NA
thalidomide	0.0135302543093452	0.495050494950505
tolazamide	-2.31449205764518	NA
brimonidine	-2.27797281924607	NA
vardenafil	1.17411032168274	0.493866579728582
benzonatate	-4.66766018116599	NA
rizatriptan	-2.51102385321656	NA
tolmetin	-6.47862478757483	NA
etodolac	-1.96020077040923	NA
cetirizine	-0.181046336168377	NA
eplerenone	-0.206364129389616	NA
chloroquine	-1.06760193874635	NA
oxaprozin	-2.85687781527201	NA
quinapril	-1.49725136785115	NA
nilutamide	-14.1481444294981	NA
naproxen	-4.91310642802338	NA
propofol	0.370348758284173	0.493866579728582
triamterene	-11.7892015532109	NA
capsaicin	-4.49528182380393	NA
nifedipine	-3.83147748303531	NA
olaparib	-5.59928451423218	NA
atorvastatin	-11.8683652560204	NA
auranofin	-1.99123567548932	NA
temsirolimus	-23.5136941507762	NA
itraconazole	-7.88602826424854	NA
zileuton	-3.98906452733074	NA
imiquimod	-5.03492452783783	NA
pemetrexed	-0.428829205415792	NA
lenalidomide	-2.13308451015502	NA
maraviroc	0.80582069466899	0.493866579728582
enzalutamide	-6.00110046828199	NA
quinine	-0.465811501355463	NA
temozolomide	-1.94863261665147	NA
nicardipine	-4.0592827212168	NA
promethazine	-1.88484555294265	NA
nimodipine	-0.989323891373317	NA
tranylcypromine	-5.37658970368851	NA
acyclovir	-0.76646623980459	NA
carbidopa	-5.19265912950916	NA
clopidogrel	1.41427036762815	0.493866579728582
propranolol	-3.62546687231692	NA
azathioprine	-8.72402922094241	NA
mafenide	0.12854168710053	0.493866579728582
azithromycin	-6.35515739672897	NA
cefotaxime	-1.2991063082795	NA
methylprednisolone	-1.32140788266006	NA
rifapentine	-7.42241690879718	NA
glycopyrrolate	-0.227234284129866	NA
ribavirin	-4.54402882844215	NA
dicloxacillin	-2.08992504987155	NA
ethambutol	-6.22006604536847	NA
phenelzine	-8.79149174836061	NA
terazosin	2.02097045572276	0.493866579728582
lamivudine	-5.37893029355095	NA
cytarabine	-5.62997722902827	NA
cladribine	-7.75743351954451	NA
fludarabine	-6.46795234575266	NA
desloratadine	-9.37041224334785	NA
decitabine	-2.97789890792645	NA
afatinib	-14.553333706575	NA
lapatinib	-13.1752608685828	NA
belinostat	-7.02060173988544	NA
topotecan	-7.10929372527839	NA
azelastine	3.15089610107446	0.493866579728582
balsalazide	-2.31305217230662	NA
clarithromycin	-0.812015619249006	NA
clofazimine	-6.0142834680617	NA
diazoxide	1.97678298782857	0.493866579728582
docetaxel	-2.2544770643248	NA
efavirenz	-3.21019960587707	NA
enalaprilat	-2.96109034022996	NA
granisetron	-4.62122981395014	NA
indinavir	-0.591522854317726	NA
pitavastatin	-1.07558728726759	NA
levofloxacin	-3.00802599947821	NA
linezolid	-8.76113230759538	NA
loratadine	-5.99214358110581	NA
memantine	-4.5955465063354	NA
nisoldipine	-13.094810191825	NA
rabeprazole	-6.81999366758923	NA
rifabutin	-3.73576036797483	NA
stavudine	-4.31450911780428	NA
disulfiram	-13.4829936689553	NA
vinorelbine	-3.72389550999714	NA
cyproheptadine	14.0705717672287	0.311968803119688
treprostinil	-2.7524269555335	NA
floxuridine	-3.43111040954526	NA
sitagliptin	-5.11930624579085	NA
acarbose	2.49762565823652	0.493866579728582
aripiprazole	-10.5453375250614	NA
artemether	-3.73982983179047	NA
cefdinir	6.99848491792307	0.493866579728582
dolasetron	-4.75499508151459	NA
levetiracetam	-2.97832509616111	NA
loteprednol	-8.1821879556948	NA
medroxyprogesterone	-4.42183247261443	NA
metronidazole	-1.28736438956471	NA
moxifloxacin	-0.746992107145463	NA
nelfinavir	-15.9458253004408	NA
nitazoxanide	-26.7238938560904	NA
orlistat	-3.41898548507803	NA
pramipexole	-7.64078336736268	NA
topiramate	3.96085069242975	0.493866579728582
oxcarbazepine	1.55672330613319	0.493866579728582
voriconazole	-0.280269840656225	NA
deferiprone	-1.40886529703354	NA
varenicline	-14.9481665093306	NA
axitinib	-9.52318813076792	NA
argatroban	0.248310522025937	0.493866579728582
atracurium	-9.55822375853444	NA
clotrimazole	-9.69875870825002	NA
famotidine	-1.53883663373606	NA
methotrexate	-7.41340700032125	NA
milnacipran	-4.08562895384654	NA
oxiconazole	-16.6974311599415	NA
pancuronium	5.43237855067982	0.493866579728582
ramipril	-5.54239994726166	NA
sulfasalazine	-2.9415127447506	NA
terbinafine	-5.63936704032233	NA
iloprost	0.108926489680839	0.493866579728582
doxercalciferol	1.55355053497414	0.493866579728582
imatinib	-2.8120548014987	NA
capecitabine	-1.57483551410804	NA
raltegravir	-0.0249316559471944	NA
cefpodoxime	-4.38249963284211	NA
doxapram	-4.91854371542138	NA
olopatadine	-4.05371556661029	NA
tiagabine	-4.11279357408349	NA
vecuronium	-0.726604223219638	NA
tofacitinib	-8.64791610556487	NA
ropivacaine	1.63850111810167	0.493866579728582
niacin	-1.47503511610121	NA
anastrozole	-8.97006165201648	NA
palonosetron	1.01585429779331	0.493866579728582
sumatriptan	-8.02050188763134	NA
betaxolol	-9.534697592297	NA
esomeprazole	-0.871844806586553	NA
montelukast	-0.916957477930917	NA
penciclovir	-9.20896224906025	NA
cefaclor	-6.62971209863616	NA
